time_s,T10_K,T10_C,T_heater_avg_K,T_heater_avg_C,Q_in_W,Q_heater_to_air_total_W,Q_heater_to_air_conv_W,Q_heater_to_air_rad_W,Q_air_to_duct_total_W,Q_air_to_duct_conv_W,Q_air_to_duct_rad_W,Q_heater_to_support_W,OF_Q_heater_total_raw_W,OF_Q_heater_conv_raw_W,OF_Q_duct_total_raw_W,OF_Q_duct_conv_raw_W,OF_Q_support_raw_W
0,293.15,20,293.15,20,20.77429,0,0,0,-0,-0,-0,0,0,0,0,0,0
0.5,294.50291,21.35291,294.50188,21.35188,20.77429,0.0511142528,0.0369120931,0.0142021597,0.0173914983,0.0013313447,0.0160601536,0,0.0511142528,0.0369120931,-0.0173914983,-0.0013313447,0
1,295.85203,22.70203,295.851057,22.701057,20.77429,0.0891791128,0.0592610099,0.0299181029,0.0420971277,0.0103256335,0.0317714942,0,0.0891791128,0.0592610099,-0.0420971277,-0.0103256335,0
1.5,297.19879,24.04879,297.197808,24.047808,20.77429,0.125931269,0.0800761076,0.0458551614,0.0669582053,0.0192541732,0.0477040321,0,0.125931269,0.0800761076,-0.0669582053,-0.0192541732,0
2,298.54335,25.39335,298.542131,25.392131,20.77429,0.164181779,0.102201105,0.061980674,0.0921814463,0.0283562648,0.0638251815,0,0.164181779,0.102201105,-0.0921814463,-0.0283562648,0
2.5,299.88535,26.73535,299.883824,26.733824,20.77429,0.207124378,0.128833062,0.078291316,0.117441155,0.0373098779,0.0801312771,0,0.207124378,0.128833062,-0.117441155,-0.0373098779,0
3,301.22421,28.07421,301.222509,28.072509,20.77429,0.256188118,0.161413031,0.094775087,0.142262802,0.0456519077,0.0966108943,0,0.256188118,0.161413031,-0.142262802,-0.0456519077,0
3.5,302.55979,29.40979,302.557887,29.407887,20.77429,0.307626517,0.19618309,0.111443427,0.166873506,0.0535979548,0.1132755512,0,0.307626517,0.19618309,-0.166873506,-0.0535979548,0
4,303.8925,30.7425,303.889976,30.739976,20.77429,0.357377211,0.228635858,0.128741353,0.192955735,0.062386183,0.130569552,0,0.357377211,0.228635858,-0.192955735,-0.062386183,0
4.5,305.22241,32.07241,305.218898,32.068898,20.77429,0.406091636,0.260417666,0.14567397,0.22134669,0.0738472832,0.1474994068,0,0.406091636,0.260417666,-0.22134669,-0.0738472832,0
5,306.5495,33.3995,306.544602,33.394602,20.77429,0.456710439,0.294016409,0.16269403,0.253552941,0.0890360652,0.1645168758,0,0.456710439,0.294016409,-0.253552941,-0.0890360652,0
5.5,307.87338,34.72338,307.866972,34.716972,20.77429,0.508711637,0.328421101,0.180290536,0.289340521,0.107233288,0.182107233,0,0.508711637,0.328421101,-0.289340521,-0.107233288,0
6,309.19391,36.04391,309.18589,36.03589,20.77429,0.562078264,0.364452545,0.197625719,0.326647023,0.127350197,0.199296826,0,0.562078264,0.364452545,-0.326647023,-0.127350197,0
6.5,310.51094,37.36094,310.501317,37.351317,20.77429,0.615412484,0.399803307,0.215609177,0.3666301,0.148293992,0.218336108,0,0.615412484,0.399803307,-0.3666301,-0.148293992,0
7,311.82517,38.67517,311.813565,38.663565,20.77429,0.656022288,0.422430573,0.233591715,0.467965652,0.221865719,0.246099933,0,0.656022288,0.422430573,-0.467965652,-0.221865719,0
7.5,313.13774,39.98774,313.123452,39.973452,20.77429,0.69580137,0.444010514,0.251790856,0.500939897,0.242235483,0.258704414,0,0.69580137,0.444010514,-0.500939897,-0.242235483,0
8,314.44716,41.29716,314.430196,41.280196,20.77429,0.750834898,0.481081019,0.269753879,0.533209566,0.257271764,0.275937802,0,0.750834898,0.481081019,-0.533209566,-0.257271764,0
8.5,315.75259,42.60259,315.73317,42.58317,20.77429,0.809363975,0.521019317,0.288344658,0.579829594,0.284913712,0.294915882,0,0.809363975,0.521019317,-0.579829594,-0.284913712,0
9,317.05469,43.90469,317.032455,43.882455,20.77429,0.864913531,0.557703588,0.307209943,0.629308375,0.315920551,0.313387824,0,0.864913531,0.557703588,-0.629308375,-0.315920551,0
