time_s,T10_K,T10_C,T_heater_avg_K,T_heater_avg_C,Q_in_W,Q_heater_to_air_total_W,Q_heater_to_air_conv_W,Q_heater_to_air_rad_W,Q_air_to_duct_total_W,Q_air_to_duct_conv_W,Q_air_to_duct_rad_W,Q_heater_to_support_W,OF_Q_heater_total_raw_W,OF_Q_heater_conv_raw_W,OF_Q_duct_total_raw_W,OF_Q_duct_conv_raw_W,OF_Q_support_raw_W
0,293.15,20,293.15,20,49.045,0,0,0,-0,-0,-0,0,0,0,0,0,0
0.5,296.34399,23.19399,296.341519,23.191519,49.045,0.122123623,0.0870805771,0.0350430459,0.0462068978,0.00931109417,0.03689580363,0,0.122123623,0.0870805771,-0.0462068978,-0.00931109417,0
1,299.5289,26.3789,299.526567,26.376567,49.045,0.214356493,0.141186613,0.07316988,0.103621129,0.028608032,0.075013097,0,0.214356493,0.141186613,-0.103621129,-0.028608032,0
1.5,302.70755,29.55755,302.705525,29.555525,49.045,0.311408405,0.19887335,0.112535055,0.16290996,0.0485418212,0.1143681388,0,0.311408405,0.19887335,-0.16290996,-0.0485418212,0
2,305.87881,32.72881,305.877544,32.727544,49.045,0.429081296,0.276019861,0.153061435,0.222584653,0.0677001718,0.1548844812,0,0.429081296,0.276019861,-0.222584653,-0.0677001718,0
2.5,309.0406,35.8906,309.041302,35.891302,49.045,0.563277319,0.367865653,0.195411666,0.282960792,0.0857367346,0.1972240574,0,0.563277319,0.367865653,-0.282960792,-0.0857367346,0
3,312.19525,39.04525,312.196671,39.046671,49.045,0.688886727,0.450017179,0.238869548,0.349016076,0.108343005,0.240673071,0,0.688886727,0.450017179,-0.349016076,-0.108343005,0
3.5,315.34318,42.19318,315.343849,42.193849,49.045,0.816677789,0.534424633,0.282253156,0.424601041,0.140557238,0.284043803,0,0.816677789,0.534424633,-0.424601041,-0.140557238,0
4,318.48304,45.33304,318.482447,45.332447,49.045,0.951819778,0.624189803,0.327629975,0.50998646,0.180579793,0.329406667,0,0.951819778,0.624189803,-0.50998646,-0.180579793,0
4.5,321.61416,48.46416,321.61212,48.46212,49.045,1.092201,0.717416982,0.374784018,0.602544631,0.226102017,0.376442614,0,1.092201,0.717416982,-0.602544631,-0.226102017,0
5,324.73618,51.58618,324.732539,51.582539,49.045,1.23499512,0.812866717,0.422128403,0.701647967,0.274854835,0.426793132,0,1.23499512,0.812866717,-0.701647967,-0.274854835,0
5.5,327.85134,54.70134,327.844744,54.694744,49.045,1.33531176,0.863679729,0.471632031,0.93842617,0.447836593,0.490589577,0,1.33531176,0.863679729,-0.93842617,-0.447836593,0
6,330.96114,57.81114,330.950068,57.800068,49.045,1.46668557,0.944931794,0.521753776,1.02179222,0.490700277,0.531091943,0,1.46668557,0.944931794,-1.02179222,-0.490700277,0
6.5,334.05878,60.90878,334.045471,60.895471,49.045,1.6264414,1.05324253,0.57319887,1.12928199,0.547345548,0.581936442,0,1.6264414,1.05324253,-1.12928199,-0.547345548,0
7,337.14657,63.99657,337.130993,63.980993,49.045,1.7708678,1.14503783,0.62582997,1.24783048,0.610054312,0.637776168,0,1.7708678,1.14503783,-1.24783048,-0.610054312,0
7.5,340.22719,67.07719,340.207296,67.057296,49.045,1.91130699,1.23096732,0.68033967,1.36666881,0.673316461,0.693352349,0,1.91130699,1.23096732,-1.36666881,-0.673316461,0
8,343.30032,70.15032,343.274099,70.124099,49.045,2.06424457,1.32856296,0.73568161,1.497419,0.748018448,0.749400552,0,2.06424457,1.32856296,-1.497419,-0.748018448,0
8.5,346.36212,73.21212,346.330967,73.180967,49.045,2.21215298,1.41955485,0.79259813,1.63908284,0.834266897,0.804815943,0,2.21215298,1.41955485,-1.63908284,-0.834266897,0
9,349.41255,76.26255,349.378248,76.228248,49.045,2.36339595,1.51266106,0.85073489,1.76894628,0.904386713,0.864559567,0,2.36339595,1.51266106,-1.76894628,-0.904386713,0
9.5,352.45435,79.30435,352.415485,79.265485,49.045,2.51663109,1.60645577,0.91017532,1.90747854,0.980482064,0.926996476,0,2.51663109,1.60645577,-1.90747854,-0.980482064,0
